,Country,2020
0,Afghanistan,499.441
1,Albania,"4,898.28"
2,Algeria,"3,331.08"
3,Angola,"2,021.31"
4,Antigua and Barbuda,"14,158.57"
5,Argentina,"8,433.04"
6,Armenia,"4,314.73"
7,Aruba,"20,310.10"
8,Australia,"51,885.47"
9,Austria,"48,634.34"
10,Azerbaijan,"4,124.86"
11,The Bahamas,"30,026.74"
12,Bahrain,"22,877.59"
13,Bangladesh,"1,887.97"
14,Barbados,"16,082.47"
15,Belarus,"6,133.88"
16,Belgium,"43,813.77"
17,Belize,"3,733.98"
18,Benin,"1,258.92"
19,Bhutan,"3,431.37"
20,Bolivia,"3,321.92"
21,Bosnia and Herzegovina,"5,761.71"
22,Botswana,"6,557.51"
23,Brazil,"6,450.45"
24,Brunei Darussalam,"23,116.71"
25,Bulgaria,"9,826.14"
26,Burkina Faso,768.827
27,Burundi,263.674
28,Cabo Verde,"3,358.33"
29,Cambodia,"1,571.92"
30,Cameroon,"1,493.12"
31,Canada,"42,080.05"
32,Central African Republic,480.49
33,Chad,639.847
34,Chile,"12,612.32"
35,China,"10,582.10"
36,Colombia,"5,207.24"
37,Comoros,"1,336.95"
38,Democratic Republic of the Congo,456.892
39,Republic of Congo,"2,128.23"
40,Costa Rica,"11,629.01"
41,Côte d'Ivoire,"2,281.42"
42,Croatia,"14,033.24"
43,Cyprus,"26,240.05"
44,Czech Republic,"22,627.47"
45,Denmark,"58,438.85"
46,Djibouti,"3,074.33"
47,Dominica,"7,708.72"
48,Dominican Republic,"7,444.80"
49,Ecuador,"5,315.52"
50,Egypt,"3,561.14"
51,El Salvador,"3,821.29"
52,Equatorial Guinea,"7,131.16"
53,Eritrea,585.158
54,Estonia,"22,985.86"
55,Eswatini,"3,414.81"
56,Ethiopia,974.088
57,Fiji,"4,370.89"
58,Finland,"48,461.48"
59,France,"39,257.43"
60,Gabon,"7,185.42"
61,The Gambia,746.329
62,Georgia,"4,405.27"
63,Germany,"45,466.12"
64,Ghana,"2,187.79"
65,Greece,"18,168.34"
66,Grenada,"9,824.34"
67,Guatemala,"4,239.67"
68,Guinea,"1,019.41"
69,Guinea-Bissau,766.749
70,Guyana,"8,648.55"
71,Haiti,732.066
72,Honduras,"2,412.44"
73,Hong Kong SAR,"45,175.73"
74,Hungary,"15,372.89"
75,Iceland,"57,189.03"
76,India,"1,876.53"
77,Indonesia,"4,038.40"
78,Islamic Republic of Iran,"7,256.95"
79,Iraq,"4,438.12"
80,Ireland,"79,668.50"
81,Israel,"41,559.51"
82,Italy,"30,657.30"
83,Jamaica,"5,220.81"
84,Japan,"39,047.86"
85,Jordan,"4,173.85"
86,Kazakhstan,"8,781.87"
87,Kenya,"2,075.22"
88,Kiribati,"1,638.45"
89,Korea,"30,644.43"
90,Kosovo,"4,141.44"
91,Kuwait,"22,252.43"
92,Kyrgyz Republic,"1,147.81"
93,Lao P.D.R.,"2,567.01"
94,Latvia,"17,230.14"
95,Lebanon,"2,744.76"
96,Lesotho,924.208
97,Liberia,653.597
98,Libya,"3,282.04"
99,Lithuania,"19,883.07"
100,Luxembourg,"109,602.32"
101,Macao SAR,"38,769.20"
102,Madagascar,514.854
103,Malawi,399.097
104,Malaysia,"10,192.46"
105,Maldives,"12,464.37"
106,Mali,899.223
107,Malta,"28,468.65"
108,Marshall Islands,"4,070.62"
109,Mauritania,"1,790.95"
110,Mauritius,"8,950.70"
111,Mexico,"8,069.10"
112,Micronesia,"3,854.74"
