Country,GDP per capita (USD)
Afghanistan,505.827
Albania,5160.77
Algeria,3449.42
Angola,2129.75
Antigua and Barbuda,14747.84
Argentina,9095.1
Armenia,4426.55
Aruba,22709.49
Australia,57210.82
Austria,54820.3
Azerbaijan,4403.78
The Bahamas,31531.63
Bahrain,23710.38
Bangladesh,1989.85
Barbados,17471.58
Belarus,6513.12
Belgium,50050.96
Belize,3967.92
Benin,1400.46
Bhutan,3446.53
Bolivia,3618.18
Bosnia and Herzegovina,6536.32
Botswana,7035.84
Brazil,6728.17
Brunei Darussalam,26273.52
Bulgaria,11348.85
Burkina Faso,850.79
Burundi,267.019
Cabo Verde,3675.17
Cambodia,1680.02
Cameroon,1657.08
Canada,45870.64
Central African Republic,521.753
Chad,710.177
Chile,14208.69
China,11712.85
Colombia,5456.71
Comoros,1431.08
Democratic Republic of the Congo,477.88800000000003
Republic of Congo,2271.21
Costa Rica,11804.69
Côte d'Ivoire,2570.76
Croatia,16401.47
Cyprus,29685.75
Czech Republic,25990.63
Denmark,63644.75
Djibouti,3275.14
Dominica,8110.57
Dominican Republic,7740.11
Ecuador,5589.24
Egypt,3606.29
El Salvador,4023.23
Equatorial Guinea,8000.28
Eritrea,632.409
Estonia,26377.58
Eswatini,3697.21
Ethiopia,917.8839999999999
Fiji,4822.39
Finland,54816.9
France,44769.8
Gabon,7784.53
The Gambia,808.584
Georgia,4714.28
Germany,51967.33
Ghana,2299.88
Greece,20520.69
Grenada,10211.11
Guatemala,4384.93
Guinea,1066.84
Guinea-Bissau,843.4730000000001
Guyana,9912.7
Haiti,697.488
Honduras,2592.76
Hong Kong SAR,47989.62
Hungary,17644.53
Iceland,58370.63
India,2030.62
Indonesia,4287.19
Islamic Republic of Iran,7667.57
Iraq,4766.61
Ireland,90478.08
Israel,43439.38
Italy,35061.62
Jamaica,5643.23
Japan,40733.02
Jordan,4347.0
Kazakhstan,9454.35
Kenya,2122.08
Kiribati,1816.6
Korea,32305.25
Kosovo,4753.06
Kuwait,23138.08
Kyrgyz Republic,1269.98
Lao P.D.R.,2614.12
Latvia,19933.77
Lebanon,
Lesotho,1018.32
Liberia,646.256
Libya,4732.7
Lithuania,22751.74
Luxembourg,125922.64
Macao SAR,48207.05
Madagascar,554.384
Malawi,397.311
Malaysia,11378.44
Maldives,14193.98
Mali,992.307
Malta,32099.28
Marshall Islands,4091.8
Mauritania,1781.53
Mauritius,9629.78
Mexico,8402.5
Micronesia,3995.09
Moldova,4527.33
Mongolia,4139.33
Montenegro,9152.39
Morocco,3408.59
Mozambique,430.52099999999996
Myanmar,1441.12
Namibia,4411.84
Nauru,9865.06
Nepal,1165.82
Netherlands,58029.3
New Zealand,41793.28
Nicaragua,1828.43
Niger,567.395
Nigeria,2208.5
North Macedonia,6933.07
Norway,76408.03
Oman,14674.53
Pakistan,
Palau,13179.5
Panama,14390.01
Papua New Guinea,2595.61
Paraguay,5207.02
Peru,6229.42
Philippines,3601.87
Poland,16739.73
Portugal,25096.95
Puerto Rico,31206.63
Qatar,55417.22
Romania,14916.09
Russia,10792.47
Rwanda,819.648
Samoa,4052.97
San Marino,44676.33
São Tomé and Príncipe,2132.98
Saudi Arabia,20741.88
Senegal,1629.43
Serbia,8444.02
Seychelles,12648.06
Sierra Leone,470.972
Singapore,62112.95
Slovak Republic,21606.17
Slovenia,28734.21
Solomon Islands,2501.29
Somalia,
South Africa,5235.79
South Sudan,322.64
Spain,31178.18
Sri Lanka,3927.5
St. Kitts and Nevis,16490.62
St. Lucia,10635.59
St. Vincent and the Grenadines,7400.79
Sudan,713.7869999999999
Suriname,4921.23
Sweden,57659.73
Switzerland,90357.8
Syria,
Taiwan Province of China,28889.47
Tajikistan,851.279
Tanzania,1132.13
Thailand,7674.54
Timor-Leste,1273.12
Togo,758.742
Tonga,4949.23
Trinidad and Tobago,16621.96
Tunisia,3380.08
Turkey,7658.85
Turkmenistan,8874.21
Tuvalu,4296.12
Uganda,971.2769999999999
Ukraine,3614.67
United Arab Emirates,32686.18
United Kingdom,42235.94
United States,66144.14
Uruguay,16297.36
Uzbekistan,1835.82
Vanuatu,2966.58
Venezuela,1585.89
Vietnam,3758.89
West Bank and Gaza,3059.73
Yemen,572.558
Zambia,1005.56
Zimbabwe,516.2
