Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",505.909,507.29,499.441,505.827,523.013,540.522,555.893,571.606,2019
Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,284.44","5,323.19","4,898.28","5,160.77","5,647.78","6,217.29","6,623.23","7,054.60",2018
Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,080.91","3,898.01","3,331.08","3,449.42","3,512.06","3,541.22","3,581.02","3,641.01",2019
Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,620.59","2,967.96","2,021.31","2,129.75","2,198.09","2,317.60","2,437.41","2,542.21",2017
Antigua and Barbuda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,860.96","17,195.46","14,158.57","14,747.84","16,368.89","17,756.52","18,558.79","19,365.52",2011
Argentina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,624.89","9,890.31","8,433.04","9,095.10","9,537.40","9,927.79","10,035.45","10,105.62",2019
Armenia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,195.96","4,604.77","4,314.73","4,426.55","4,748.79","5,083.76","5,463.73","5,873.15",2015
Aruba,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","25,194.84","25,744.56","20,310.10","22,709.49","24,217.54","25,059.18","25,874.83","26,700.38",2017
Australia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","56,453.36","54,348.23","51,885.47","57,210.82","58,724.36","60,780.61","62,704.08","64,503.29",2019
Austria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","51,292.70","50,380.28","48,634.34","54,820.30","57,759.98","59,982.46","62,045.17","64,084.57",2019
Azerbaijan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,759.80","4,813.67","4,124.86","4,403.78","4,574.51","4,747.27","4,923.15","5,104.89",2018
The Bahamas,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","34,583.83","35,664.03","30,026.74","31,531.63","33,604.15","35,278.14","36,391.60","37,249.81",2018
Bahrain,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","25,419.50","25,997.58","22,877.59","23,710.38","24,382.65","25,060.39","25,794.62","26,618.34",2019
Bangladesh,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,661.88","1,816.04","1,887.97","1,989.85","2,168.33","2,348.82","2,544.33","2,756.11",2013
Barbados,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,758.08","18,139.48","16,082.47","17,471.58","18,532.27","19,325.91","20,153.53","21,016.59",2019
Belarus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,322.32","6,658.06","6,133.88","6,513.12","6,845.43","7,133.76","7,375.69","7,681.40",2019
Belgium,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","47,631.45","46,236.67","43,813.77","50,050.96","52,306.48","54,216.34","55,822.93","57,306.95",2019
Belize,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,700.93","4,497.99","3,733.98","3,967.92","4,161.55","4,253.70","4,344.22","4,439.12",2019
Benin,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,240.78","1,218.21","1,258.92","1,400.46","1,496.66","1,595.36","1,694.90","1,798.53",2017
Bhutan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,413.85","3,356.78","3,431.37","3,446.53","3,680.06","3,951.92","4,288.18","4,557.83",2015
Bolivia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,565.50","3,566.42","3,321.92","3,618.18","3,870.29","4,123.90","4,361.50","4,612.79",2017
Bosnia and Herzegovina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,073.93","6,015.16","5,761.71","6,536.32","6,963.61","7,354.98","7,782.40","8,254.54",2018
Botswana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,996.96","7,772.67","6,557.51","7,035.84","7,747.80","8,264.42","8,658.30","9,095.42",2017
Brazil,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,043.24","8,751.38","6,450.45","6,728.17","7,299.09","7,736.76","8,252.81","8,690.04",2019
