GENES "U3" "U4" "U6" "U7" "U8" "U9" "H34" "H35" "H36" "H38" "H39" "H40" "S62" "S63" "S64" "S67" "S68"
"ARAF" 1.28370760141919 1.19612785879349 4.58474560387868 7.82525698196412 1.21394180731715 513.110654340899 101.394149257894 234.686785769226 9.48806284245283 48.004115270978 1.50122237492667 1.46699837811488 4.16646404260234 4.55189152187525 193.585913742159 1.17268626561526 4.74132308792992
"ATF2" 5910.18979693397 10.7651507291414 12.2259882770098 5.86894273647309 3.64182542195146 1.06675811713285 28.7799986976556 770.199360569914 14.2320942636792 355.230453005238 13.51100137434 7.33499189057439 7.29131207455409 138.832691417195 4.03303986962832 1.17268626561526 3.55599231594744
"BRAF" 151.477496967465 655.478066618835 1.52824853462623 1.95631424549103 14.5673016878058 3.20027435139854 89.4393805680989 260.288980580414 4.74403142122642 3.20027435139854 154.625904617447 1.46699837811488 54.1640325538304 319.770379411737 1.34434662320944 29.3171566403816 15.4093000357722
"CCNA1" 1.28370760141919 1.19612785879349 1.52824853462623 1.95631424549103 1.21394180731715 1.06675811713285 27.8944602761893 1.06675811713285 4.74403142122642 1.06675811713285 1.50122237492667 1.46699837811488 1.04161601065058 1.13797288046881 1.34434662320944 1.17268626561526 1.18533077198248
"CCNA2" 2795.91515589101 1016.70867997447 9.16949120775736 559.505874210435 137.175424226838 3765.65615347894 713.743967701858 5.33379058566423 4.74403142122642 775.533151155579 2403.4570222576 10.2689886468042 5069.54512383639 4699.8279963362 5109.86151481908 9863.46418008998 1625.08848838798
"CCNB1" 4030.84186845627 1.19612785879349 13.754236811636 11.7378854729462 118.966297117081 7101.40878575335 604.379972650767 252.821673760484 49.0216580193396 594.184271242995 1538.75293429984 2.93399675622976 5716.3886664504 10379.450642756 6002.50767263015 873.651267883371 1913.12386597972
"CCNB2" 3.85112280425758 3.58838357638048 1.52824853462623 1.95631424549103 26.7067197609773 907.811157680051 116.005533212089 1.06675811713285 1.58134380707547 1.06675811713285 130.60634661862 1.46699837811488 921.830169425767 873.963172200049 41.6747453194927 1149.23254030296 640.078616870539
"CCND1" 82702.8622214316 24615.1152061113 53.4886987119179 15143.8285743461 3397.82311868071 34321.8756606322 8332.91654599812 8677.01052475856 2275.5537383816 17747.6547947391 11353.7448215704 23828.45465572 26760.1569296242 26470.3871725851 6948.9276953696 10993.9337401431 10491.3626628169
"CCND2" 3.85112280425758 5268.94321798534 728.97455101671 5303.56791952618 6.06970903658576 3.20027435139854 55.3461513416453 1.06675811713285 11.0694066495283 3.20027435139854 4.50366712478001 4.40099513434464 211.448050162069 1.13797288046881 4.03303986962832 1126.95150125627 686.306516977855
"CCND3" 3.85112280425758 352.857718344081 4.58474560387868 5.86894273647309 906.814530065912 560.048011494744 16.382460797127 54.4046639737751 109.112722688208 52.2711477395094 1382.62580730746 24.9389724279529 123.952305267419 1.13797288046881 4.03303986962832 8.20880385930684 1141.47353341913
"CCNE1" 21.8230292241263 1.19612785879349 1.52824853462623 1.95631424549103 1.21394180731715 1.06675811713285 66.8581508207076 999.552355753476 4.74403142122642 363.7645179423 313.755476359674 2.93399675622976 1.04161601065058 3.41391864140644 1.34434662320944 1.17268626561526 1.18533077198248
"CDC42" 1.28370760141919 8348.97245437859 3047.3275780447 416.69493428959 765.997280417123 8513.79653283724 439.669826258031 4955.09145408207 672.071118007076 611.25240111712 791.144191586355 679.220249067189 2963.39755030091 5640.93156848391 9449.41241453916 1135.16030511557 43.8572385633517
