Sample,ABL1,AKT1,APAF1,APP,ATG12,ATG16L1,ATG3,ATG5,ATG7,ATP6V1G2,BAX,BCL2,BCL2A1,BCL2L11,BCL2L1,BECN1,BIRC2,BIRC3,BMF,C1orf159,CASP1,CASP2,CASP3,CASP6,CASP7,CASP9,CCDC103,CD40,CD40LG,CFLAR,COMMD4,CTSB,CTSS,CYLD,DENND4A,DFFA,DPYSL4,EIF5B,ESR1,FAS,FASLG,FOXI1,GAA,GADD45A,GALNT5,GRB2,HSPBAP1,HTT,IFNG,IGF1,IGF1R,INS,IRGM,JPH3,KCNIP1,MAG,MAP1LC3A,MAPK8,MCL1,NFKB1,NOL3,PARP1,PARP2,PIK3C3,PVR,RAB25,RPS6KB1,S100A7A,SNCA,SPATA2,SQSTM1,SYCP2,TMEM57,TNF,TNFRSF10A,TNFRSF11B,TNFRSF1A,TP53,TRAF2,TXNL4B,ULK1,XIAP
U3,147.6263742,3.851122804,1.283707601,4852.414733,53.91571926,1.283707601,1797.190642,1930.696233,1082.165508,1.283707601,52.63201166,1.283707601,1.283707601,1.283707601,9955.152449,322.210608,6749.734568,7857.574228,1.283707601,3.851122804,1.283707601,128.3707601,75.73874848,198.9746782,1227.224467,1.283707601,1.283707601,173.3005262,1.283707601,817.7217421,51.34830406,26.95785963,1.283707601,938.3902566,78.30616369,1.283707601,1.283707601,16716.44039,1.283707601,1636.727192,1.283707601,1.283707601,1.283707601,1.283707601,1.283707601,875.4885842,1.283707601,200.2583858,17048.92065,1.283707601,6933.304755,1.283707601,1.283707601,1.283707601,3.851122804,1.283707601,1.283707601,1.283707601,1.283707601,24.39044443,394.0982336,1.283707601,173.3005262,5.134830406,512.199333,1.283707601,2129.670911,1.283707601,1.283707601,1.283707601,2652.139905,1.283707601,1.283707601,1.283707601,1.283707601,1.283707601,1.283707601,989.7385607,1.283707601,1.283707601,83.44099409,445.4465377
U4,9.56902287,34.68770791,1.196127859,11644.30471,326.5429055,1.196127859,764.3257018,617.2019751,203.341736,3.588383576,77.74831082,1.196127859,1.196127859,459.3130978,601.652313,5108.662085,8334.61892,37443.58649,1.196127859,11.96127859,1.196127859,105.2592516,656.6741945,393.5260655,429.4099013,1080.103456,1.196127859,3.588383576,1.196127859,53.82575365,1.196127859,37.07996362,5.980639294,517.9233629,1154.263384,787.0521311,1.196127859,3419.729548,3.588383576,1.196127859,1.196127859,5.980639294,1.196127859,376.7802755,35.88383576,321.758394,77.74831082,2.392255718,4804.845609,1.196127859,1037.042854,1.196127859,1.196127859,5.980639294,1.196127859,1.196127859,1.196127859,1.196127859,16404.89358,495.1969335,1.196127859,5.980639294,942.5487527,949.7255199,442.5673078,3.588383576,259.5597454,1.196127859,1.196127859,1.196127859,3202.034278,1.196127859,1870.743971,1.196127859,1.196127859,1.196127859,3.588383576,1.196127859,5.980639294,1.196127859,1.196127859,539.4536643
U6,7.641242673,4.584745604,22.92372802,3625.005524,5683.5563,4.584745604,1.528248535,1.528248535,4216.437707,1.528248535,1.528248535,1.528248535,1.528248535,1.528248535,1.528248535,1.528248535,985.7203048,10068.10135,4.584745604,4.584745604,1.528248535,1.528248535,178.8050786,1.528248535,108.505646,10.69773974,1.528248535,4.584745604,1.528248535,591.4321829,1.528248535,7.641242673,1.528248535,4.584745604,108.505646,1.528248535,3.056497069,16.81073388,4.584745604,1.528248535,1.528248535,1.528248535,1.528248535,1.528248535,1.528248535,2752.375611,1867.519709,7.641242673,16946.748,1.528248535,13419.55038,2944.934926,1.528248535,1303.596,4.584745604,1.528248535,1.528248535,4.584745604,125993.3939,1.528248535,1.528248535,12.22598828,1.528248535,4.584745604,10.69773974,16.81073388,4.584745604,4.584745604,4.584745604,1.528248535,973.4943166,1.528248535,10.69773974,1.528248535,1.528248535,4.584745604,7.641242673,7.641242673,1.528248535,7.641242673,4.584745604,1.528248535
U7,1.956314245,256.2771662,1.956314245,127.160426,1.956314245,1.956314245,11.73788547,5.868942736,1.956314245,1.956314245,436.2580767,1.956314245,1.956314245,1.956314245,1.956314245,84.12151256,3280.73899,17.60682821,311.053965,1.956314245,1.956314245,5.868942736,1.956314245,33.25734217,19.56314245,1.956314245,1.956314245,1.956314245,1.956314245,80.20888407,1.956314245,7964.155293,1218.783775,170.1993394,76.29625557,1.956314245,1.956314245,424.5201913,5.868942736,1.956314245,1.956314245,5.868942736,1.956314245,1433.978342,5.868942736,158.4614539,1.956314245,1.956314245,1.956314245,1.956314245,1.956314245,1.956314245,1.956314245,1.956314245,1.956314245,3.912628491,9.781571227,1.956314245,13.69419972,17.60682821,1.956314245,1.956314245,479.2969901,1.956314245,13.69419972,1.956314245,901.8608672,1.956314245,1.956314245,1.956314245,1660.910794,1.956314245,5.868942736,1.956314245,1.956314245,1.956314245,13.69419972,9.781571227,1.956314245,1.956314245,1.956314245,5.868942736
U8,110.4687045,586.3338929,10.92547627,5499.156387,29.13460338,1.213941807,1.213941807,89.83169374,1.213941807,1.213941807,3.641825422,1.213941807,146.8869587,10.92547627,1.213941807,931.0933662,2959.590126,809.6991855,1.213941807,1.213941807,1.213941807,2584.482108,23.06489434,52.19949771,1.213941807,1.213941807,1.213941807,458.8700032,3.641825422,6.069709037,1.213941807,535.348337,178.4494457,1.213941807,997.8601656,3.641825422,1.213941807,32900.25086,3.641825422,12.13941807,1.213941807,6.069709037,1.213941807,967.5116204,413.9541563,2163.244301,103.1850536,35.20431241,4400.539052,1.213941807,8536.438789,1.213941807,1.213941807,6.069709037,1.213941807,1.213941807,1.213941807,3.641825422,4006.007964,265.8532558,1.213941807,10.92547627,3068.844889,847.3313815,7146.47542,1.213941807,4.855767229,61.91103217,1.213941807,44.91584687,6825.994783,1.213941807,59.48314856,1.213941807,3.641825422,3.641825422,10.92547627,35.20431241,8.497592651,6.069709037,1.213941807,30.34854518
U9,866.2075911,2281.795613,325.3612257,317.8939189,1.066758117,744.5971658,629.3872891,257.0887062,140.8120715,41.60356657,172.814815,71.47279385,1.066758117,9.600823054,637.921354,1053.95702,4829.213996,18892.28625,1.066758117,1.066758117,3.200274351,2017.239599,424.5697306,140.8120715,791.5345229,5.333790586,1.066758117,1.066758117,1.066758117,97.07498866,37.3365341,860.8738005,425.6364887,689.1257437,642.1883865,62.93872891,1.066758117,2630.625517,3.200274351,1.066758117,1.066758117,9.600823054,114.1431185,308.2930959,181.3488799,718.9949709,393.6337452,2315.931872,4468.649753,1.066758117,856.6067681,7.46730682,1.066758117,1.066758117,1.066758117,2.133516234,1.066758117,41.60356657,7538.779614,129.0777322,13.86785552,1.066758117,707.2606317,273.090078,5.333790586,1.066758117,701.9268411,1.066758117,1.066758117,491.775492,13340.87701,1.066758117,1.066758117,1.066758117,6.400548703,1.066758117,477.9076365,1053.95702,1.066758117,276.2903523,54.40466397,459.7727485
H34,3048.023247,293.5559867,104.0507645,2466.667273,540.6212063,23.90953738,113.3489179,272.3030646,185.9630685,2.213846054,41.1775366,0.442769211,6.641538161,23.46676817,9.298153425,172.237223,1489.032856,4423.264415,0.442769211,8.412615004,0.442769211,476.86244,499.8864389,86.7827653,104.9363029,0.442769211,3.542153686,26.12338343,0.442769211,37.1926137,81.02676556,220.9418362,763.7768885,31.43661396,27.89446028,50.03292081,0.442769211,1415.975936,19.92461448,59.33107424,0.442769211,0.442769211,145.6710703,1604.15285,63.31599713,695.5904301,33.2076908,693.8193532,0.442769211,0.442769211,74.82799661,0.442769211,0.442769211,1.328307632,2.213846054,0.442769211,2.213846054,81.02676556,1504.087009,181.0926072,1.328307632,22.58122975,135.0446093,231.125528,343.5889075,0.442769211,423.2873655,0.442769211,1.328307632,98.73753399,1684.736847,0.442769211,39.40645976,10.18369185,7.527076582,0.442769211,317.4655241,31.43661396,119.9904561,2.213846054,53.13230529,366.1701373
H35,8103.094658,808.6026528,33.06950163,5932.241889,757.3982632,129.0777322,341.3625975,353.0969368,344.5628718,1.066758117,105.6090536,3.200274351,50.13763151,483.2414271,6742.978058,71.47279385,549.3804303,5255.917243,1.066758117,4.267032469,1.066758117,1061.424327,1001.685872,5.333790586,1658.808872,4.267032469,1.066758117,917.4119807,1.066758117,847.005945,483.2414271,723.2620034,4598.794243,71.47279385,103.4755374,395.7672615,1.066758117,8238.572939,3.200274351,5.333790586,1.066758117,1.066758117,314.6936446,5.333790586,704.0603573,2870.646093,982.4842259,368.0315504,1.066758117,1.066758117,568.5820764,1.066758117,1.066758117,5.333790586,3.200274351,1.066758117,13.86785552,48.00411527,9163.452226,508.8436219,1.066758117,60.80521268,210.1513491,86.40740749,781.9336999,1.066758117,754.1979888,1.066758117,1.066758117,265.6227712,14336.16234,5.333790586,97.07498866,1.066758117,378.6991316,1.066758117,438.4375861,9.600823054,41.60356657,1.066758117,393.6337452,720.0617291
H36,90.136597,102.7873475,11.06940665,630.956179,33.20821995,4.744031421,7.906719035,11.06940665,1.581343807,1.581343807,4.744031421,14.23209426,1.581343807,185.0172254,912.4353767,646.7696171,96.46197223,305.1993548,1.581343807,1.581343807,1.581343807,273.5724786,124.9261608,1.581343807,30.04553233,1.581343807,1.581343807,36.37090756,1.581343807,4.744031421,74.32315893,169.2037874,20.55746949,11.06940665,58.50972086,1.581343807,1.581343807,441.1949222,1.581343807,1.581343807,1.581343807,1.581343807,55.34703325,20.55746949,7.906719035,80.64853416,1.581343807,36.37090756,1.581343807,4.744031421,1.581343807,1.581343807,1.581343807,1.581343807,4.744031421,1.581343807,1.581343807,1.581343807,997.8279423,194.5052883,1.581343807,1.581343807,1.581343807,11.06940665,109.1127227,1.581343807,7.906719035,1.581343807,1.581343807,20.55746949,3542.210128,1.581343807,4.744031421,1.581343807,1.581343807,1.581343807,45.85897041,52.18434563,7.906719035,7.906719035,20.55746949,30.04553233
H38,718.9949709,816.0699596,45.87059904,427.770005,570.7155927,89.60768184,200.550526,1.066758117,144.0123458,101.3420211,248.5546413,96.00823054,1.066758117,58.67169644,9.600823054,77.87334255,702.9935992,1799.620944,1.066758117,7.46730682,1.066758117,7.46730682,190.949703,48.00411527,1.066758117,22.40192046,1.066758117,190.949703,3.200274351,9.600823054,5.333790586,7.46730682,628.320531,438.4375861,66.13900326,257.0887062,3.200274351,5135.373576,1.066758117,7.46730682,1.066758117,1.066758117,1.066758117,2184.720624,20.26840423,373.365341,5.333790586,857.6735262,1.066758117,5.333790586,7.46730682,1.066758117,1.066758117,9.600823054,3.200274351,1.066758117,33.06950163,18.13488799,2943.185645,552.5807047,1.066758117,3.200274351,368.0315504,26.66895293,3216.275723,1.066758117,38.40329222,5.333790586,3.200274351,71.47279385,5338.057618,1.066758117,56.53818021,1.066758117,1.066758117,1.066758117,382.9661641,254.95519,412.8353913,1957.501145,114.1431185,466.1732972
