scientific name,common name
Simonsiella muelleri,Scheibenbakterien
Simonsiella muelleri,Scheibenbakterien Muller 1911
Escherichia coli,E. coli
Rickettsia akari,rickettsialpox
Anaplasma phagocytophilum,agent of human granulocytic ehrlichiosis
Neorickettsia risticii,equine monocytic ehrlichiosis agent
Chromatiaceae,purple sulfur bacteria
Chloroflexaceae,photosynthetic flexibacteria
Cyanobacteria,blue-green bacteria
Cyanobacteria,cyanophytes
Prochloraceae,prochlorophytes
Proteobacteria,purple bacteria
Proteobacteria,purple bacteria and relatives
Proteobacteria,purple non-sulfur bacteria
Proteobacteria,purple photosynthetic bacteria
Proteobacteria,purple photosynthetic bacteria and relatives
Firmicutes,low G+C Gram-positive bacteria
Firmicutes,low GC Gram+
Bacillus anthracis,anthrax
Bacillus anthracis,anthrax bacterium
Spiroplasma poulsonii,Melanogaster sex ratio organism
Citrus limon,lemon
Citrus cavaleriei,Ichang papeda
Citrus sinensis,Valencia orange
Citrus sinensis,apfelsine
Citrus sinensis,naranja
Citrus sinensis,navel orange
Eukaryota,eukaryotes
Rhodophyta,rhodophytes
Chondrus crispus,Irish moss
Chondrus crispus,carageen
Chondrus crispus,carrageen
Chrysophyceae,chrysomonads
Chrysophyceae,chrysophytes
Haptophyta,coccolithophorids
Bacillariophyta,bacillariophytes
Dinophyceae,dinophytes
Alaria esculenta,badderlocks
Alaria esculenta,henware
Alaria esculenta,murlin
Euglenida,euglenophytes
Ulva,sea lettuces
Codium fragile,dead man's fingers
Characeae,charophytes
Characeae,stoneworts
Embryophyta,higher plants
Embryophyta,land plants
Embryophyta,plants
Marchantiophyta,hepatics
Marchantiophyta,liverwort
Psilotaceae,whisk-fern family
Psilotum,whisk ferns
Selaginellaceae,spike mosses
Lycopodiaceae,clubmoss family
Equisetum,scouring rushes
Equisetum arvense,common horsetail
Equisetum hyemale,Dutch rush
Gleichenia japonica,urajiro
Polystichum munitum,common sword fern
Polystichum munitum,giant holly fern
Osmunda regalis,royal fern
Zamia pygmaea,Florida arrowroot
Zamia pygmaea,comptie
Zamia pygmaea,guayiga
Ginkgo biloba,ginkgo
Thuja plicata,Pacific red-cedar
Thuja plicata,giant arborvitae
Thuja plicata,western red-cedar
Pinaceae,pine family
Abies magnifica,California red fir
Abies magnifica,red fir
Larix laricina,American larch
Picea pungens,blue spruce
Picea rubens,red spruce
Picea mariana,black spruce
Pinus wallichiana,Bhutan pine
Pinus wallichiana,Himalayan white pine
Pinus wallichiana,blue pine
Pinus longaeva,western bristlecone pine
Pinus pinea,parasol pine
Pinus pinea,pignolia-nut pine
Pinus sylvestris,Scotch pine
Pinus thunbergii,green pine
Pinus coulteri,Coulter pine
Pinus coulteri,big-cone pine
Pinus banksiana,jack pine
Pseudolarix amabilis,golden larch
Podocarpus henkelii,Henkel's podo
Podocarpus henkelii,Henkel's yellowwood
Podocarpus henkelii,fern-pine
Cupressaceae,cypress family
Ephedra,Mormon-tea
Ephedra,joint firs
Ephedra,ma huang
Ephedra distachya,sea-grape
Magnoliopsida,angiosperms
Magnoliaceae,magnolia family
Magnolia liliiflora,purple magnolia
Magnolia grandiflora,southern magnolia
Magnolia x soulangeana,Chinese magnolia
Magnolia x soulangeana,saucer magnolia
Magnolia macrophylla,bigleaf magnolia
Magnolia virginiana,sweetbay
Tasmannia purpurascens,broad leaved pepperbush
Canellaceae,wild cinnamon family
Canella winterana,barbasco
Canella winterana,curbana
Canella winterana,wild cinnamon
Calycanthus floridus,Carolina-allspice
Calycanthus floridus,eastern sweetshrub
Calycanthus occidentalis,California-allspice
Calycanthus occidentalis,western sweetshrub
Lauraceae,laurel family
Persea borbonia,red bay
Umbellularia californica,California bay tree
Ranunculaceae,buttercup family
Nigella damascena,jack-in-the-green
Ranunculus acris,cmmon buttercup
Menispermaceae,moonseed family
Capnoides sempervirens,rock harlequin
Papaveraceae,poppy family
Ulmaceae,elm family
Cannabaceae,hemp family
Cannabaceae,hop family
Humulus japonicus,kana-mugura
Humulus lupulus,common hop
Moraceae,mulberry family
Artocarpus integer,campedak
Artocarpus integer,cempedak
Artocarpus integer,chempedak
Ficus,fig trees
Morus,mulberry trees
Urticaceae,nettle family
Urtica dioica,stinging nettle
Fagaceae,beech family
Betula,birches
Betula pendula,white birch
Betula papyrifera,canoe birch
Betula nigra,black birch
Morella cerifera,candleberry
Morella cerifera,southern bayberry
Morella cerifera,wax-myrtle
Quercus rubra,red oak
Betulaceae,birch family
Alnus,alders
Alnus incana,gray alder
Phytolaccaceae,pokeweed family
Phytolacca americana,Virginia poke
Phytolacca americana,common pokeberry
Phytolacca americana,common pokeweed
Phytolacca americana,red stem pokeweed
Phytolacca acinosa,Indian pokeweed
Phytolacca acinosa,food pokeberry
