State,Female,Male,Population
Alabama,249.0,557.0,5024279
Alaska,33.0,88.0,733391
Arizona,437.0,1320.0,7151502
Arkansas,120.0,221.0,3011524
California,1619.0,5264.0,39538223
Colorado,339.0,821.0,5773714
Connecticut,269.0,740.0,3605944
Delaware,98.0,218.0,989948
District of Columbia,69.0,246.0,689545
Florida,1444.0,3609.0,21538187
Georgia,465.0,1016.0,10711908
Hawaii,10.0,101.0,1455271
Idaho,39.0,121.0,1839106
Illinois,623.0,1714.0,12812508
Indiana,538.0,1145.0,6785528
Iowa,82.0,178.0,3190369
Kansas,128.0,288.0,2937880
Kentucky,513.0,1056.0,4505836
Louisiana,452.0,1128.0,4657757
Maine,106.0,256.0,1362359
Maryland,184.0,443.0,6177224
Massachusetts,439.0,1186.0,7029917
Michigan,523.0,1110.0,10077331
Minnesota,240.0,568.0,5706494
Mississippi,175.0,307.0,2961279
Missouri,424.0,991.0,6154913
Montana,20.0,63.0,1084225
Nebraska,29.0,87.0,1961504
Nevada,191.0,442.0,3104614
New Hampshire,73.0,156.0,1377529
New Jersey,524.0,1384.0,9288994
New Mexico,196.0,455.0,2117522
New York,939.0,2539.0,20201249
North Carolina,727.0,1711.0,10439388
North Dakota,,39.0,779094
Ohio,1088.0,2480.0,11799448
Oklahoma,186.0,341.0,3959353
Oregon,197.0,495.0,4237256
Pennsylvania,1045.0,2456.0,13002700
Rhode Island,69.0,177.0,1097379
South Carolina,424.0,914.0,5118425
South Dakota,,11.0,886667
Tennessee,820.0,1695.0,6910840
Texas,955.0,2178.0,29145505
Utah,113.0,247.0,3271616
Vermont,41.0,81.0,643077
Virginia,478.0,1162.0,8631393
Washington,425.0,976.0,7705281
West Virginia,296.0,676.0,1793716
Wisconsin,301.0,763.0,5893718
Wyoming,,10.0,576851
