Ten-Year Age Groups Code,Year Code,UCD - Drug/Alcohol Induced Cause,Gender,Occurrence State,Deaths
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Alabama,13
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Arizona,47
15-24,2018,Drug poisonings (overdose) Unintentional,Female,California,82
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Colorado,16
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Connecticut,20
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Florida,78
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Georgia,24
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Illinois,49
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Indiana,36
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Kentucky,24
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Louisiana,10
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Massachusetts,42
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Michigan,35
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Minnesota,14
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Missouri,35
15-24,2018,Drug poisonings (overdose) Unintentional,Female,New Hampshire,12
15-24,2018,Drug poisonings (overdose) Unintentional,Female,New Jersey,53
15-24,2018,Drug poisonings (overdose) Unintentional,Female,New Mexico,11
15-24,2018,Drug poisonings (overdose) Unintentional,Female,New York,66
15-24,2018,Drug poisonings (overdose) Unintentional,Female,North Carolina,54
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Ohio,94
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Oklahoma,10
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Pennsylvania,100
15-24,2018,Drug poisonings (overdose) Unintentional,Female,South Carolina,25
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Tennessee,35
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Texas,53
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Utah,11
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Virginia,26
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Washington,22
15-24,2018,Drug poisonings (overdose) Unintentional,Female,West Virginia,18
15-24,2018,Drug poisonings (overdose) Unintentional,Female,Wisconsin,26
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Alabama,23
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Arizona,157
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Arkansas,20
15-24,2018,Drug poisonings (overdose) Unintentional,Male,California,241
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Colorado,60
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Connecticut,49
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Delaware,10
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Florida,167
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Georgia,50
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Idaho,12
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Illinois,124
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Indiana,73
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Iowa,16
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Kansas,11
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Kentucky,52
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Louisiana,43
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Maryland,17
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Massachusetts,79
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Michigan,90
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Minnesota,37
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Mississippi,13
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Missouri,105
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Nevada,18
15-24,2018,Drug poisonings (overdose) Unintentional,Male,New Hampshire,20
15-24,2018,Drug poisonings (overdose) Unintentional,Male,New Jersey,140
15-24,2018,Drug poisonings (overdose) Unintentional,Male,New Mexico,23
15-24,2018,Drug poisonings (overdose) Unintentional,Male,New York,155
15-24,2018,Drug poisonings (overdose) Unintentional,Male,North Carolina,124
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Ohio,152
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Oklahoma,27
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Oregon,21
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Pennsylvania,185
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Rhode Island,11
15-24,2018,Drug poisonings (overdose) Unintentional,Male,South Carolina,59
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Tennessee,78
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Texas,128
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Utah,35
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Virginia,66
15-24,2018,Drug poisonings (overdose) Unintentional,Male,Washington,62
