State,Female,Male
Alabama,249.0,557.0
Alaska,33.0,88.0
Arizona,437.0,1320.0
Arkansas,120.0,221.0
California,1619.0,5264.0
Colorado,339.0,821.0
Connecticut,269.0,740.0
Delaware,98.0,218.0
District of Columbia,69.0,246.0
Florida,1444.0,3609.0
Georgia,465.0,1016.0
Hawaii,10.0,101.0
Idaho,39.0,121.0
Illinois,623.0,1714.0
Indiana,538.0,1145.0
Iowa,82.0,178.0
Kansas,128.0,288.0
Kentucky,513.0,1056.0
Louisiana,452.0,1128.0
Maine,106.0,256.0
Maryland,184.0,443.0
Massachusetts,439.0,1186.0
Michigan,523.0,1110.0
Minnesota,240.0,568.0
Mississippi,175.0,307.0
Missouri,424.0,991.0
Montana,20.0,63.0
Nebraska,29.0,87.0
Nevada,191.0,442.0
New Hampshire,73.0,156.0
New Jersey,524.0,1384.0
New Mexico,196.0,455.0
New York,939.0,2539.0
North Carolina,727.0,1711.0
North Dakota,,39.0
Ohio,1088.0,2480.0
Oklahoma,186.0,341.0
Oregon,197.0,495.0
Pennsylvania,1045.0,2456.0
Rhode Island,69.0,177.0
South Carolina,424.0,914.0
South Dakota,,11.0
Tennessee,820.0,1695.0
Texas,955.0,2178.0
Utah,113.0,247.0
Vermont,41.0,81.0
Virginia,478.0,1162.0
Washington,425.0,976.0
West Virginia,296.0,676.0
Wisconsin,301.0,763.0
Wyoming,,10.0
