,time,gender,sexuallity,age,income,race,bodyweight,friends,social_fear,depressed,attempt_suicide,employment,job_title,edu_level,improve_yourself_how
0,5/17/2016 20:04:18,Male,Straight,35,"$30,000 to $39,999",White non-Hispanic,Normal weight,0.0,Yes,Yes,Yes,Employed for wages,mechanical drafter,Associate degree,None
1,5/17/2016 20:04:30,Male,Bisexual,21,"$1 to $10,000",White non-Hispanic,Underweight,0.0,Yes,Yes,No,Out of work and looking for work,-,"Some college, no degree",join clubs/socual clubs/meet ups
2,5/17/2016 20:04:58,Male,Straight,22,$0,White non-Hispanic,Overweight,10.0,Yes,Yes,No,Out of work but not currently looking for work,unemployed,"Some college, no degree",Other exercise
3,5/17/2016 20:08:01,Male,Straight,19,"$1 to $10,000",White non-Hispanic,Overweight,8.0,Yes,Yes,No,A student,student,"Some college, no degree",Joined a gym/go to the gym
4,5/17/2016 20:08:04,Male,Straight,23,"$30,000 to $39,999",White non-Hispanic,Overweight,10.0,No,Yes,No,Employed for wages,Factory worker,"High school graduate, diploma or the equivalent (for example: GED)",None
5,5/17/2016 20:09:09,Male,Straight,24,"$50,000 to $74,999",White non-Hispanic,Normal weight,2.0,Yes,Yes,Yes,Employed for wages,game programmer,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
6,5/17/2016 20:10:56,Male,Straight,22,"$1 to $10,000",White non-Hispanic,Underweight,2.0,Yes,Yes,No,Employed for wages,Janitor,"High school graduate, diploma or the equivalent (for example: GED)",None
7,5/17/2016 20:11:13,Female,Gay/Lesbian,24,"$20,000 to $29,999",White non-Hispanic,Normal weight,10.0,Yes,Yes,Yes,Employed for wages,Fabricator,Trade/technical/vocational training,"Therapy, join clubs/socual clubs/meet ups, None, Volunteering, social activism, traveling"
8,5/17/2016 20:11:52,Male,Straight,20,"$10,000 to $19,999",White non-Hispanic,Overweight,0.0,Yes,Yes,No,Employed for wages,cashier,"Some college, no degree","Joined a gym/go to the gym, Therapy"
9,5/17/2016 20:13:37,Male,Straight,33,"$50,000 to $74,999",White non-Hispanic,Overweight,6.0,Yes,Yes,Yes,Employed for wages,Software Engineer ,Master’s degree,Therapy
10,5/17/2016 20:17:40,Female,Straight,32,"$50,000 to $74,999",Hispanic (of any race),Overweight,5.0,No,No,No,Employed for wages,Nurse,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups"
11,5/17/2016 20:18:37,Male,Straight,25,"$1 to $10,000",Asian,Normal weight,0.0,Yes,Yes,Yes,Employed for wages,Freight associate,"Some college, no degree","Joined a gym/go to the gym, Other exercise"
12,5/17/2016 20:26:57,Male,Straight,24,"$1 to $10,000",White non-Hispanic,Normal weight,20.0,No,No,No,A student,Student,"Some college, no degree","Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
13,5/17/2016 20:30:21,Female,Straight,23,$0,White non-Hispanic,Normal weight,1.0,Yes,Yes,Yes,Unable to work,NEET,"High school graduate, diploma or the equivalent (for example: GED)",None
14,5/17/2016 20:30:26,Male,Straight,22,"$30,000 to $39,999",Hispanic (of any race),Normal weight,0.0,No,Yes,No,Employed for wages,broker,Bachelor’s degree,"Cosmetic survey, Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
15,5/17/2016 20:30:49,Male,Straight,23,$0,White non-Hispanic,Underweight,6.0,No,Yes,No,Retired,Student,"High school graduate, diploma or the equivalent (for example: GED)","Therapy, Other exercise, join clubs/socual clubs/meet ups"
