,Manga ID,English Title,Japanese Title,Type,Volumes,Chapters,Status,Published,Genres,Author,Serialization,Score,Ranked,Popularity,Members
0,2,Berserk,ベルセルク,Manga,Unknown,Unknown,Publishing,"Aug  25, 1989 to ?","['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Supernatural', 'Military', 'Psychological', 'Seinen']","['Miura, Kentarou (Story & Art)']",Young Animal,9.33,1,4,296958
1,1706,Unknown,ジョジョの奇妙な冒険 Part7 STEEL BALL RUN,Manga,24,96,Finished,"Jan  19, 2004 to Apr  19, 2011","['Action', 'Adventure', 'Mystery', 'Historical', 'Horror', 'Shounen', 'Supernatural']","['Araki, Hirohiko (Story & Art)']",Ultra Jump,9.21,2,50,97073
2,25,Fullmetal Alchemist,鋼の錬金術師,Manga,27,116,Finished,"Jul  12, 2001 to Sep  11, 2010","['Action', 'Adventure', 'Comedy', 'Drama', 'Shounen', 'Military']","['Arakawa, Hiromu (Story & Art)']",Shounen Gangan,9.12,3,11,197562
3,13,One Piece,ONE PIECE,Manga,Unknown,Unknown,Publishing,"Jul  22, 1997 to ?","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Super', 'Super']","['Oda, Eiichiro (Story & Art)']",Shounen Jump (Weekly),9.08,4,2,306944
4,1,Monster,MONSTER,Manga,18,162,Finished,"Dec  5, 1994 to Dec  20, 2001","['Mystery', 'Drama', 'Psychological', 'Seinen']","['Urasawa, Naoki (Story & Art)']",Big Comic Original,9.07,5,39,103030
5,656,Vagabond,バガボンド,Manga,37,327,On Hiatus,"Mar  23, 1999 to May  21, 2015","['Action', 'Adventure', 'Drama', 'Historical', 'Samurai', 'Seinen']","['Inoue, Takehiko (Story & Art)', ' Yoshikawa, Eiji (Story)']",Morning,9.05,6,22,134645
6,4632,Goodnight Punpun,おやすみプンプン,Manga,13,147,Finished,"Mar  15, 2007 to Nov  2, 2013","['Drama', 'Slice', 'Slice', 'Psychological', 'Seinen']","['Asano, Inio (Story & Art)']",Big Comic Spirits,9.03,7,12,182755
7,16765,Unknown,キングダム,Manga,Unknown,Unknown,Publishing,"Jan  26, 2006 to ?","['Action', 'Drama', 'Historical', 'Military', 'Seinen']","['Hara, Yasuhisa (Story & Art)']",Young Jump,9.01,8,78,73634
8,70345,Grand Blue Dreaming,ぐらんぶる,Manga,Unknown,Unknown,Publishing,"Apr  7, 2014 to ?","['Comedy', 'Slice', 'Slice', 'Seinen']","['Inoue, Kenji (Story)', ' Yoshioka, Kimitake (Art)']",good! Afternoon,9.0,9,71,76527
9,51,Slam Dunk,SLAM DUNK,Manga,31,276,Finished,"Sep  18, 1990 to Jun  4, 1996","['Comedy', 'Drama', 'School', 'Shounen', 'Sports']","['Inoue, Takehiko (Story & Art)']",Shounen Jump (Weekly),8.98,10,89,69802
10,3,20th Century Boys,20世紀少年,Manga,22,249,Finished,"Sep  27, 1999 to Apr  24, 2006","['Mystery', 'Drama', 'Historical', 'Sci', 'Sci', 'Psychological', 'Seinen']","['Urasawa, Naoki (Story & Art)']",Big Comic Spirits,8.96,11,37,104666
