GENES "U3" "U4" "U6" "U7" "U8" "U9" "H34" "H35" "H36" "H38" "H39" "H40" "S62" "S63" "S64" "S67" "S68"
"APC" 14.1207836156111 70.5715436688161 29.0367221578983 314.966593524056 185.733096519524 1784.68632996325 1028.1101073224 78.9401006678305 210.318726341038 1248.10699704543 4.50366712478001 2.93399675622976 1990.52819635327 3.41391864140644 4.03303986962832 21828.3821481625 1766.14285025389
"BRMS1" 1.28370760141919 1.19612785879349 4.58474560387868 1.95631424549103 7.28365084390291 6.40054870279707 69.5147660851065 233.620027652093 1.58134380707547 10.6675811713285 106.586788619794 4.40099513434464 10.4161601065058 14.7936474460946 1.34434662320944 701.266386837927 61.6372001430889
"CD44" 7340.24006491496 11790.2323041275 13.754236811636 13735.2823175925 114.110529887812 3532.03612582685 19970.6624809086 25161.6237088124 969.363753737264 16703.2985980661 6799.03613604289 14091.9864201715 2399.88328853895 83.0720202742234 111.580769726384 5630.06676121888 2269.90842834645
"CD82" 1.28370760141919 3.58838357638048 1.52824853462623 1.95631424549103 1.21394180731715 25.6021948111883 34.0932292264535 48.004115270978 6.32537522830189 9.60082305419561 1.50122237492667 1.46699837811488 1.04161601065058 2.27594576093763 1.34434662320944 1.17268626561526 1.18533077198248
"CDH1" 1.28370760141919 1.19612785879349 4.58474560387868 1.95631424549103 1.21394180731715 1.06675811713285 0.442769210733163 1.06675811713285 1.58134380707547 1.06675811713285 1.50122237492667 7.33499189057439 1.04161601065058 1.13797288046881 1.34434662320944 1.17268626561526 1.18533077198248
"CDH11" 1.28370760141919 2175.75657514537 4.58474560387868 5.86894273647309 103.185053621958 440.571102375865 94.7526110968968 909.944673914317 362.127731820283 105.609053596152 4.50366712478001 7.33499189057439 1.04161601065058 9323.41180968099 1.34434662320944 1.17268626561526 9.48264617585983
"CDH6" 3.85112280425758 1.19612785879349 1.52824853462623 1.95631424549103 1.21394180731715 1.06675811713285 0.442769210733163 1.06675811713285 1.58134380707547 1.06675811713285 1.50122237492667 1.46699837811488 1.04161601065058 3.41391864140644 1.34434662320944 1.17268626561526 1.18533077198248
"CDKN2A" 1.28370760141919 1.19612785879349 10.6977397423836 1.95631424549103 1.21394180731715 1.06675811713285 2.21384605366581 3.20027435139854 7.90671903537736 3.20027435139854 1.50122237492667 1.46699837811488 1.04161601065058 1.13797288046881 1.34434662320944 1.17268626561526 1.18533077198248
"CHD4" 17.9719064198687 5179.23362857583 1.52824853462623 925.336638117258 2334.41009547088 3858.4641096695 1182.63656186828 1266.24188503669 589.841240039151 1959.63466117304 331.770144858794 1365.77549002495 3050.89329519556 2417.05439811576 3348.76743841472 4669.63670967998 559.47612437573
"COL4A2" 16.6881988184495 315.777754721482 200.200558036036 5.86894273647309 144.459075070741 7.46730681992992 358.643060693862 1910.56378778493 96.4619722316038 452.305441664326 1.50122237492667 7.33499189057439 82.2876648413961 51.2087796210966 38.9860520730738 202.874723951441 846.32617119549
"CST7" 1.28370760141919 1.19612785879349 1.52824853462623 1.95631424549103 1.21394180731715 1.06675811713285 0.442769210733163 1.06675811713285 64.8350960900944 1.06675811713285 1.50122237492667 1.46699837811488 562.472645751315 1.13797288046881 4.03303986962832 3.51805879684579 1.18533077198248
"CTBP1" 1.28370760141919 245.206211052666 7.64124267313114 5.86894273647309 86.1898683195178 1887.095109208 355.100907007997 660.323274505231 30.045532334434 1782.55281372898 1169.45223006788 931.543970102948 494.767605059027 505.259958928153 1.34434662320944 815.016954602608 41.4865770193868
"CTNNA1" 4277.31372792876 9890.7812643634 4.58474560387868 178.024596339684 3127.11409564898 2128.18244368003 3682.95429487845 7319.02744164845 722.674119833491 3049.8614568828 3451.31023995641 1418.58743163709 5469.52567192622 10739.0500729842 4566.74547904247 11509.9156970138 815.507571123946
"CTSK" 1.28370760141919 1.19612785879349 1.52824853462623 1.95631424549103 1.21394180731715 3.20027435139854 74.3852274031713 3.20027435139854 1.58134380707547 1.06675811713285 1.50122237492667 1.46699837811488 1.04161601065058 1.13797288046881 1.34434662320944 3.51805879684579 1.18533077198248
"CTSL1" 2498.09499236175 21.5303014582829 1.52824853462623 5.86894273647309 860.684741387861 1279.04298244228 476.862439959616 11997.8285433931 17.3947818778302 286.957933508735 46.5378936227268 7.33499189057439 3757.10895041666 1819.61863586963 2745.15580459368 2086.20886652955 96.0117925305808
"CXCL12" 1.28370760141919 651.889683042454 270.499990628842 346.267621451912 952.944318743964 1.06675811713285 1.32830763219949 1.06675811713285 1.58134380707547 1.06675811713285 1664.85561379368 1.46699837811488 5.20808005325292 2859.72584861813 4.03303986962832 1.17268626561526 1.18533077198248
"CXCR4" 1510.92384687039 2087.24311359465 130367.24124629 21263.179534242 4002.36613872465 3549.10425570098 46.4907671269821 1.06675811713285 1.58134380707547 3.20027435139854 7.50611187463335 1.46699837811488 9.37454409585525 12.5177016851569 14.7878128553038 5168.02837256646 266.699423696058
"DENR" 6265.77680252709 1917.39295764597 10.6977397423836 706.229442622262 433.377225212223 6361.07865246316 29.2227679083887 361.631001708035 959.875690894812 254.95518999475 4.50366712478001 145.232839433373 4003.97194494084 7411.61737049338 319.954496323847 7004.45506451997 9962.70513851274
