"","A_2_S123_L004_R1_001","A_S119_L004_R1_001","B_2_S124_L004_R1_001","B_S120_L004_R1_001","C_2_S125_L004_R1_001","C_S121_L004_R1_001","D_2_S126_L004_R1_001","D_S122_L004_R1_001"
"Adar.7",2.20015596087061,11.6280332068516,3.01846365487118,19.3059926475935,3.15217618019875,33.907222999884,4.57207401148427,19.1570758960489
"Atx2",3.30023394130592,23.2560664137032,5.70154245920112,13.5141948533155,1.43280735463579,12.3298992726851,6.09609868197903,31.9284598267482
"CASK.7",7.33385320290205,40.6981162239806,8.7200061140723,44.4037830894651,9.16996706966908,43.1546474543978,13.7162220344528,44.6998437574475
"Galphai",38.8694219753809,116.280332068516,39.5754123638666,104.252360297005,32.9545691566233,92.4742445451381,41.1486661033584,140.485223237692
"LanA",44.3698118775574,93.0242656548128,32.5323305025005,115.835955885561,42.1245362262923,100.180431590566,45.7207401148427,159.642299133741
"Lim1.1",33.0023394130592,110.46631546509,34.2092547552067,88.8075661789303,35.5336223949677,73.9793956361105,57.1509251435534,105.363917428269
"N",54.2705137014752,125.001356973655,53.6615760865987,137.072547797914,50.43481888318,103.262906408738,82.2973322067169,140.485223237692
"Nlg2.1",0.733385320290205,8.72102490513869,3.01846365487118,23.1671911771122,1.14624588370864,23.1185611362845,1.52402467049476,22.3499218787237
"Nlg4.3",2.56684862101572,20.3490581119903,2.01230910324745,13.5141948533155,1.14624588370864,13.8711366817707,4.57207401148427,25.5427678613986
"Rac2.1",42.5363485768319,104.652298861664,33.5384850541242,65.640375001818,37.2529912205307,83.2268200906243,57.9129374788008,111.749609393619
"Rtnl1.4",0.733385320290205,8.72102490513869,0.335384850541242,7.72239705903742,0,3.08247481817127,3.04804934098951,3.19284598267482
"SK.2",0.733385320290205,11.6280332068516,0,1.93059926475935,0.573122941854318,4.62371222725691,0.762012335247378,3.19284598267482
"Sh.1",23.1016375891415,58.140166034258,30.520021399253,110.044158091283,32.6680076856961,106.345381226909,42.6726907738532,76.6283035841957
"Sh.4",31.5355687724788,17.4420498102774,32.1969456519592,38.6119852951871,30.0889544473517,36.9896978180553,39.6246414328637,12.7713839306993
"Smox.1",156.577765881959,392.446120731241,140.190867526239,278.006294125347,144.713542818215,280.505208453586,222.507601892235,379.948671938304
"aru",0,5.8140166034258,0.335384850541242,5.79179779427806,0.286561470927159,13.8711366817707,1.52402467049476,9.57853794802446
"chb.1",5.50038990217654,34.8840996205548,7.71385156244857,17.3753933828342,5.15810647668886,18.4948489090276,11.4301850287107,25.5427678613986
"cnc.11",3.66692660145102,0,2.3476939537887,1.93059926475935,3.43873765112591,7.70618704542818,8.38213568772116,15.9642299133741
"cnc.5",3.30023394130592,29.070083017129,3.68923335595366,17.3753933828342,3.43873765112591,21.5773237271989,10.6681726934633,25.5427678613986
"dlg1.10",0,14.5350415085645,2.01230910324745,11.5835955885561,1.14624588370864,16.953611499942,4.57207401148427,19.1570758960489
"dom.2",40.7028852761064,186.048531309626,39.5754123638666,137.072547797914,44.7035894646368,141.793841635878,52.5788511320691,220.306372804563
"dsh",49.5035091195888,197.676564516477,54.6677306382225,144.794944856952,54.7332409470873,152.582503499478,84.583369212459,220.306372804563
"jing.1",1.83346330072551,8.72102490513869,1.00615455162373,0,2.00593029649011,12.3298992726851,4.57207401148427,9.57853794802446
"jing.2",0.366692660145102,0,0.670769701082484,7.72239705903742,1.43280735463579,4.62371222725691,1.52402467049476,12.7713839306993
"jing.3",32.268954092769,11.6280332068516,22.4707849862632,9.65299632379677,28.0830241508616,13.8711366817707,19.0503083811845,15.9642299133741
"kis.2",6.23377522246674,61.0471743359709,8.7200061140723,38.6119852951871,9.16996706966908,38.5309352271409,15.2402467049476,54.2783817054719
"mbt",15.7677843862394,55.2331577325451,18.7815516303096,52.1261801485026,16.9071267847024,57.0257841361685,23.6223823926687,79.8211495668705
"milt.2",0.733385320290205,5.8140166034258,0.335384850541242,1.93059926475935,0.859684412781477,3.08247481817127,0.762012335247378,9.57853794802446
"mle",1.46677064058041,5.8140166034258,0.335384850541242,3.86119852951871,1.43280735463579,6.16494963634254,0,9.57853794802446
"mle.1",2.56684862101572,0,2.3476939537887,0,3.43873765112591,3.08247481817127,2.28603700574214,0
"myo.1",0.366692660145102,0,0,0,0,1.54123740908564,0,0
"myo.2",0.366692660145102,0,0,3.86119852951871,0,1.54123740908564,0,9.57853794802446
"noc",4.76700458188633,17.4420498102774,5.70154245920112,13.5141948533155,5.15810647668886,9.24742445451381,6.85811101722641,19.1570758960489
"nonA.2",8.43393118333736,17.4420498102774,7.04308186136609,23.1671911771122,7.73715971503329,20.0360863181133,17.5262837106897,25.5427678613986
"nonA.3",2.56684862101572,0,2.68307880432994,1.93059926475935,4.01186059298022,6.16494963634254,2.28603700574214,6.38569196534964
"pAbp",17.6012476869649,63.9541826376838,20.1230910324745,54.0567794132619,18.053372668411,49.3195970907403,32.7665304156373,57.4712276881468
"pAbp.1",37.4026513348005,212.211606025042,37.5631032606191,166.031536769304,34.9604994531134,144.87631645405,74.6772088542431,242.656294683286
"pAbp.2",247.150852937799,1107.57016295261,232.421701425081,1050.24600002909,208.330189364044,812.23211458813,411.486661033584,1293.1026229833
"peb.1",39.236114635526,78.4892241462483,46.9538790757739,139.003147062673,46.4229582901997,100.180431590566,59.4369621492955,108.556763410944
"pros",13.9343210855139,52.3261494308322,27.5015577443819,84.9463676494116,28.942708563643,78.6031078633674,40.3866537681111,63.8569196534964
"pros.1",38.5027293152358,186.048531309626,61.3754276490473,177.615132357861,63.9032080167564,221.938186908332,111.253800946117,223.499218787237
"scrib.3",2.93354128116082,8.72102490513869,1.67692425270621,9.65299632379677,1.71936882556295,9.24742445451381,2.28603700574214,15.9642299133741
"scrib.4",6.60046788261184,8.72102490513869,6.70769701082484,17.3753933828342,4.8715450057617,20.0360863181133,9.14414802296854,19.1570758960489
"sgg.13",2.56684862101572,0,3.68923335595366,1.93059926475935,3.15217618019875,0,3.81006167623689,0
"sgg.15",1.83346330072551,8.72102490513869,2.68307880432994,9.65299632379677,2.00593029649011,9.24742445451381,3.81006167623689,12.7713839306993
"sgg.16",9.53400916377266,5.8140166034258,12.409239470026,3.86119852951871,15.7608809009937,7.70618704542818,10.6681726934633,9.57853794802446
"tou.3",13.2009357652237,5.8140166034258,10.3969303667785,9.65299632379677,8.59684412781477,9.24742445451381,9.90616035821592,6.38569196534964
"tou.4",0,0,0.335384850541242,1.93059926475935,0,9.24742445451381,0.762012335247378,9.57853794802446
"zip",20.9014816282708,40.6981162239806,23.1415546873457,30.8895882361497,20.3458644358283,29.2835107726271,22.8603700574214,25.5427678613986
"zip.6",9.90070182391777,20.3490581119903,12.0738546194847,30.8895882361497,9.45652854059624,20.0360863181133,13.7162220344528,38.3141517920978
