"","A_2_S123_L004_R1_001","A_S119_L004_R1_001","B_2_S124_L004_R1_001","B_S120_L004_R1_001","C_2_S125_L004_R1_001","C_S121_L004_R1_001","D_2_S126_L004_R1_001","D_S122_L004_R1_001"
"dsh",6.10460546148127,7.76865810388725,6.21120746225745,7.36657661926163,6.21250836167566,7.43334818712571,6.70644405738671,7.91138335755423
"CASK",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"dlg1",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"scrib",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"Sh",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"Galphai",5.85496992930697,7.09144080891473,5.87303892573888,6.95732922457911,5.69322122206666,6.81248130603551,5.91245803588354,7.32824017050965
"Nlg4",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"sgg",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"milt",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"Nlg2",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"Rtnl1",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"Adar",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"mle",3.92257280288268,4.4378348417332,3.64326634437467,4.24920148100002,3.91638421244543,4.46776639470923,3.38512668112766,4.71853308499616
"myo",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"cnc",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"pros",4.97029250608089,6.16388755963092,5.52436141759743,6.71150032861082,5.57114025149137,6.62042900732149,5.89350824988499,6.38274292806848
"dom",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"kis",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"Lim3",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"pAbp",5.14627212507544,6.38445027629959,5.25391524006361,6.19901608284307,5.16628045715145,6.10065300770011,5.68774393911821,6.2658166035402
"mbt",5.06154726398854,6.222395690105,5.1978302039348,6.15977047213604,5.11489612285187,6.25728202819006,5.38934850118551,6.63837833606851
"LanA",5.98976787803653,6.81958481915611,5.68089032687279,7.08670421077661,5.93634634253699,6.90890481502207,6.02093171005391,7.49130183393452
"SK",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"nonA",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"tou",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"Atx2",4.18565594538452,5.37583280949358,4.42802787115207,4.94833320067966,3.91638421244543,4.88405536903312,4.46197115444136,5.66305366637949
"Srpk79D",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"jing",3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766,3.38512668112766
"aru",3.38512668112766,4.4378348417332,3.64326634437467,4.43590600170634,3.62378469434693,4.96701660418239,3.93283986033706,4.71853308499616
