,Name,Year,Category,Countries,Gender
0,Frédéric Passy,1901,Peace,France,Man
1,Sully Prudhomme,1901,Literature,France,Man
2,Emil Adolf von Behring,1901,Physiology or Medicine,Germany,Man
3,Wilhelm Röntgen,1901,Physics,Germany,Man
4,Jacobus Henricus van 't Hoff,1901,Chemistry,Netherlands,Man
5,Henry Dunant,1901,Peace,Switzerland,Man
6,Hermann Emil Fischer,1902,Chemistry,Germany,Man
7,Theodor Mommsen,1902,Literature,Germany,Man
8,Ronald Ross,1902,Physiology or Medicine,"India, United Kingdom",Man
9,Hendrik Lorentz,1902,Physics,Netherlands,Man
10,Pieter Zeeman,1902,Physics,Netherlands,Man
11,Charles Albert Gobat,1902,Peace,Switzerland,Man
12,Élie Ducommun,1902,Peace,Switzerland,Man
13,Henri Becquerel,1903,Physics,France,Man
14,Randal Cremer,1903,Peace,United Kingdom,Man
15,Niels Ryberg Finsen,1903,Physiology or Medicine,"Denmark, Faroe Islands",Man
16,Pierre Curie,1903,Physics,France,Man
17,Bjørnstjerne Bjørnson,1903,Literature,Norway,Man
18,Svante Arrhenius,1903,Chemistry,Sweden,Man
19,Lord Rayleigh,1904,Physics,United Kingdom,Man
20,Frédéric Mistral,1904,Literature,France,Man
21,Ivan Pavlov,1904,Physiology or Medicine,Russia and Soviet Union,Man
22,José Echegaray,1904,Literature,Spain,Man
23,William Ramsay,1904,Chemistry,United Kingdom,Man
24,Adolf von Baeyer,1905,Chemistry,Germany,Man
25,Robert Koch,1905,Physiology or Medicine,Germany,Man
26,Philipp Lenard,1905,Physics,"Germany, Hungary",Man
27,Henryk Sienkiewicz,1905,Literature,"Poland, Russia and Soviet Union",Man
28,Henri Moissan,1906,Chemistry,France,Man
29,Camillo Golgi,1906,Physiology or Medicine,Italy,Man
30,Giosuè Carducci,1906,Literature,Italy,Man
31,Santiago Ramón y Cajal,1906,Physiology or Medicine,Spain,Man
32,J. J. Thomson,1906,Physics,United Kingdom,Man
33,Theodore Roosevelt,1906,Peace,United States,Man
34,Charles Louis Alphonse Laveran,1907,Physiology or Medicine,France,Man
35,Louis Renault,1907,Peace,France,Man
36,Eduard Buchner,1907,Chemistry,Germany,Man
37,Rudyard Kipling,1907,Literature,"India, United Kingdom",Man
38,Ernesto Teodoro Moneta,1907,Peace,Italy,Man
39,Albert Abraham Michelson,1907,Physics,"Poland, United States",Man
40,Fredrik Bajer,1908,Peace,Denmark,Man
41,Gabriel Lippmann,1908,Physics,"France, Luxembourg",Man
42,Paul Ehrlich,1908,Physiology or Medicine,Germany,Man
43,Rudolf Christoph Eucken,1908,Literature,Germany,Man
44,Ernest Rutherford,1908,Chemistry,"New Zealand, United Kingdom, Canada",Man
45,Élie Metchnikoff,1908,Physiology or Medicine,Russia and Soviet Union,Man
46,Klas Pontus Arnoldson,1908,Peace,Sweden,Man
47,Emil Theodor Kocher,1909,Physiology or Medicine,Switzerland,Man
48,Auguste Marie François Beernaert,1909,Peace,Belgium,Man
49,Paul-Henri-Benjamin d'Estournelles de Constant,1909,Peace,France,Man
50,Karl Ferdinand Braun,1909,Physics,Germany,Man
51,Wilhelm Ostwald,1909,Chemistry,Germany,Man
52,Guglielmo Marconi,1909,Physics,Italy,Man
53,Albrecht Kossel,1910,Physiology or Medicine,Germany,Man
54,Otto Wallach,1910,Chemistry,Germany,Man
55,Paul Heyse,1910,Literature,Germany,Man
56,Johannes Diderik van der Waals,1910,Physics,Netherlands,Man
57,Alfred Hermann Fried,1911,Peace,Austria,Man
58,Maurice Maeterlinck,1911,Literature,Belgium,Man
59,Wilhelm Wien,1911,Physics,Germany,Man
60,Tobias Asser,1911,Peace,Netherlands,Man
61,Allvar Gullstrand,1911,Physiology or Medicine,Sweden,Man
62,Alexis Carrel,1912,Physiology or Medicine,France,Man
63,Paul Sabatier,1912,Chemistry,France,Man
64,Victor Grignard,1912,Chemistry,France,Man
65,Gerhart Hauptmann,1912,Literature,Germany,Man
66,Gustaf Dalén,1912,Physics,Sweden,Man
67,Elihu Root,1912,Peace,United States,Man
68,Henri La Fontaine,1913,Peace,Belgium,Man
69,Charles Richet,1913,Physiology or Medicine,France,Man
70,Alfred Werner,1913,Chemistry,"France, Switzerland",Man
71,Rabindranath Tagore,1913,Literature,India,Man
72,Heike Kamerlingh Onnes,1913,Physics,Netherlands,Man
73,Robert Bárány,1914,Physiology or Medicine,"Austria, Hungary",Man
74,Max von Laue,1914,Physics,Germany,Man
75,Theodore W. Richards,1914,Chemistry,United States,Man
76,William Lawrence Bragg,1915,Physics,"Australia, United Kingdom",Man
77,Romain Rolland,1915,Literature,France,Man
78,Richard Willstätter,1915,Chemistry,Germany,Man
79,William Henry Bragg,1915,Physics,United Kingdom,Man
80,Verner von Heidenstam,1916,Literature,Sweden,Man
81,Henrik Pontoppidan,1917,Literature,Denmark,Man
82,Karl Adolph Gjellerup,1917,Literature,Denmark,Man
83,Charles Glover Barkla,1917,Physics,United Kingdom,Man
84,Fritz Haber,1918,Chemistry,Germany,Man
85,Max Planck,1918,Physics,Germany,Man
86,Jules Bordet,1919,Physiology or Medicine,Belgium,Man
87,Johannes Stark,1919,Physics,Germany,Man
88,Carl Spitteler,1919,Literature,Switzerland,Man
89,Woodrow Wilson,1919,Peace,United States,Man
90,August Krogh,1920,Physiology or Medicine,Denmark,Man
91,Léon Bourgeois,1920,Peace,France,Man
92,Walther Nernst,1920,Chemistry,Germany,Man
93,Knut Hamsun,1920,Literature,Norway,Man
94,Charles Édouard Guillaume,1920,Physics,Switzerland,Man
95,Anatole France,1921,Literature,France,Man
96,Albert Einstein,1921,Physics,"Germany, Switzerland",Man
97,Christian Lous Lange,1921,Peace,Norway,Man
98,Hjalmar Branting,1921,Peace,Sweden,Man
99,Frederick Soddy,1921,Chemistry,United Kingdom,Man
100,Niels Bohr,1922,Physics,Denmark,Man
101,Otto Fritz Meyerhof,1922,Physiology or Medicine,Germany,Man
102,Fridtjof Nansen,1922,Peace,Norway,Man
103,Jacinto Benavente,1922,Literature,Spain,Man
104,Francis William Aston,1922,Chemistry,United Kingdom,Man
105,Archibald Hill,1922,Physiology or Medicine,United Kingdom,Man
106,Fritz Pregl,1923,Chemistry,Austria,Man
107,Frederick Banting,1923,Physiology or Medicine,Canada,Man
108,John James Rickard Macleod,1923,Physiology or Medicine,"Canada, United Kingdom",Man
109,W. B. Yeats,1923,Literature,Ireland,Man
110,Robert Andrews Millikan,1923,Physics,United States,Man
111,Manne Siegbahn,1924,Physics,Sweden,Man
112,Willem Einthoven,1924,Physiology or Medicine,Netherlands,Man
113,Władysław Reymont,1924,Literature,"Poland, Russia and Soviet Union",Man
114,Richard Adolf Zsigmondy,1925,Chemistry,"Austria, Hungary",Man
115,Gustav Ludwig Hertz,1925,Physics,Germany,Man
116,James Franck,1925,Physics,Germany,Man
117,George Bernard Shaw,1925,Literature,"Ireland, United Kingdom",Man
118,Austen Chamberlain,1925,Peace,United Kingdom,Man
119,Charles G. Dawes,1925,Peace,United States,Man
120,Johannes Fibiger,1926,Physiology or Medicine,Denmark,Man
121,Aristide Briand,1926,Peace,France,Man
122,Jean Baptiste Perrin,1926,Physics,France,Man
123,Gustav Stresemann,1926,Peace,Germany,Man
