,Rank,Country,Player,Accuracy,Play Count,Performance,SS,S,A
0,1,Germany,WhiteCat,98.15%,"21,405","20,306",22,264,491
1,2,Australia,mrekk,97.53%,"79,813","18,992",39,730,656
2,3,Canada,RyuK,98.69%,"206,204","17,488",141,"2,417","1,502"
3,4,Austria,Micca,98.68%,"131,884","17,487",83,907,714
4,5,United States,Vaxei,98.68%,"148,256","17,451",65,967,"1,104"
5,6,Canada,aetrna,97.26%,"134,503","17,177",141,625,961
6,7,Russian Federation,Alumetri,98.38%,"107,105","17,104",33,676,615
7,8,Indonesia,Lifeline,98.02%,"111,088","16,994",47,810,905
8,9,United States,Freddie Benson,98.11%,"74,944","16,955",16,546,980
9,10,Chile,Mathi,98.77%,"175,467","16,840",39,"1,138","1,251"
10,11,South Korea,FlyingTuna,97.71%,"107,706","16,660",49,931,890
11,12,United Kingdom,Karthy,99.11%,"158,574","16,582",919,"4,010","2,581"
12,13,Morocco,FGSky,95.55%,"256,198","16,531",49,685,890
13,14,Poland,Rafis,98.54%,"295,144","16,481",216,"2,266","1,627"
14,15,Romania,badeu,97.38%,"105,323","16,450",187,"1,784","1,373"
15,16,Latvia,Akolibed,97.89%,"105,104","16,431",19,356,554
16,17,Hong Kong,obtio,97.72%,"201,236","16,346",67,"1,283","1,414"
17,18,United States,idke,99.23%,"67,556","16,328",25,753,660
18,19,Australia,ASecretBox,98.62%,"201,687","16,109",47,751,"1,264"
19,20,Japan,a_Blue,95.15%,"132,848","16,077",9,487,521
20,21,Sweden,Andros,98.50%,"72,849","15,914",32,707,628
21,22,United Kingdom,Spare,99.13%,"170,382","15,843",847,"2,985","2,371"
22,23,Australia,Dereban,98.78%,"173,993","15,808",99,"1,113","1,511"
23,24,Germany,Umbre,99.49%,"240,847","15,765",306,"1,478","2,186"
24,25,Germany,Ralidea,99.39%,"121,491","15,685",181,471,233
25,26,Japan,Varvalian,99.36%,"230,610","15,678",684,"2,879","1,643"
26,27,Ecuador,SrChispa,97.60%,"70,421","15,647",55,940,616
27,28,Poland,Vamhi,96.06%,"139,087","15,632",1,416,632
28,29,Thailand,InBefore,97.64%,"129,362","15,545",9,430,912
29,30,Lithuania,azr8,99.13%,"93,160","15,533",38,653,"1,706"
30,31,Chile,DanyL,98.60%,"124,260","15,479",120,"1,411",605
31,32,United States,Paraqeet,96.66%,"136,968","15,463",44,461,"1,095"
32,33,Hong Kong,jpeg,97.34%,"141,577","15,347",21,399,914
33,34,Australia,uyghti,98.91%,"214,460","15,332",142,"1,386","1,528"
34,35,United States,im a fancy lad,98.04%,"84,745","15,308",128,"1,327","1,196"
35,36,Hong Kong,mcy4,98.31%,"204,769","15,307",26,"1,113","1,655"
36,37,Russian Federation,Gasha,98.85%,"182,103","15,224",628,"2,864","1,828"
37,38,South Korea,firebat92,98.80%,"144,315","15,219",179,"1,555",999
38,39,Brazil,MouseEasy,98.09%,"150,383","15,211",291,"1,754","1,756"
39,40,United States,fieryrage,97.70%,"116,593","15,198",116,"1,516","1,146"
40,41,Norway,CXu,97.08%,"152,566","15,175",891,"3,793",351
41,42,Poland,Bartek22830,98.47%,"175,257","15,152",185,"2,123","2,071"
42,43,Romania,Maxim Bogdan,97.43%,"172,729","15,107",109,888,857
43,44,Indonesia,Vinno,98.42%,"98,342","15,029",95,"1,158","1,034"
44,45,Australia,Parkes,93.91%,"62,198","15,024",18,405,608
45,46,Germany,okinamo,98.97%,"96,288","15,023",64,993,"1,790"
46,47,South Korea,chocomint,98.93%,"29,563","14,938",125,790,590
47,48,Germany,Dustice,99.08%,"106,940","14,937",131,"2,821","1,861"
48,49,United States,Weabole,97.46%,"117,367","14,877",47,276,292
49,50,Chile,Intercambing,98.86%,"117,070","14,849",161,"1,663","1,229"
0,51,United States,thaibuy,98.68%,"97,819","14,815",213,"2,713","2,040"
1,52,South Korea,Rhythm blue,97.91%,"102,087","14,806",7,"1,220","1,246"
2,53,Poland,MAREK MARUCHA,96.75%,"205,973","14,769",31,"1,503","2,017"
3,54,France,filsdelama,98.77%,"157,655","14,761",298,"1,903",857
4,55,United States,Aricin,98.54%,"144,171","14,727",74,"1,360","1,585"
5,56,Estonia,Abyssal,98.99%,"134,181","14,632",57,812,"1,334"
6,57,Australia,-Machine-,98.48%,"129,242","14,622",205,"2,006","3,065"
7,58,Poland,dejiz,98.34%,"102,698","14,550",106,819,"1,123"
8,59,Portugal,shinji,98.30%,"95,304","14,548",136,"1,121","1,259"
9,60,Mexico,Riot,97.66%,"137,582","14,545",99,"1,161","1,345"
10,61,Brazil,Kurumiw,96.69%,"92,436","14,424",16,384,662
11,62,Mexico,-Hebel-,98.25%,"151,027","14,401",170,"1,718","1,007"
12,63,United States,-DuckLeader-,99.15%,"131,621","14,400",122,931,221
13,64,United States,Aireu,98.66%,"206,387","14,398",483,"2,221",968
14,65,Uruguay,-PloX,98.77%,"213,456","14,390",255,992,"1,831"
15,66,United States,BTMC,98.76%,"108,347","14,370",103,"1,961","1,493"
16,67,Hong Kong,- Sakura -,98.13%,"93,970","14,342",15,696,571
17,68,South Korea,Ponytail,97.36%,"96,785","14,323",100,"1,740","1,633"
18,69,Singapore,Demonical,97.89%,"180,297","14,318",46,"1,013","1,294"
19,70,United States,MightyDoc,98.38%,"144,426","14,311",66,"1,694","1,745"
20,71,Finland,kissatyty,98.36%,"99,366","14,286",83,"1,221","1,185"
21,72,United States,SWAGGYSWAGSTER,98.48%,"84,087","14,278",29,308,247
22,73,Mexico,-Wolfy-,97.63%,"117,395","14,254",239,"1,995","1,434"
23,74,Hong Kong,Not DT Farmer,95.35%,"148,452","14,209",27,595,698
24,75,Australia,Jordan The Bear,98.40%,"104,109","14,192",35,"1,181","1,314"
25,76,Australia,rairiku,98.26%,"92,634","14,189",43,"1,562","1,481"
26,77,Italy,Jabahh,97.74%,"130,631","14,089",110,698,612
27,78,Romania,eternum,98.95%,"48,162","14,078",646,"1,282",817
28,79,Japan,ChocoPafe,96.71%,"124,134","14,078",70,851,773
29,80,Indonesia,Skydiver,98.41%,"141,182","14,027",65,"1,134","1,318"
30,81,United Kingdom,Bubbleman,98.57%,"115,912","14,020",152,"1,352","2,061"
31,82,Hong Kong,doki,95.52%,"146,566","13,990",17,808,"1,279"
32,83,Belgium,Alusim,96.60%,"87,037","13,973",46,"1,048",682
33,84,South Korea,Zeisen-,98.11%,"107,029","13,968",19,900,"1,743"
34,85,Australia,Enumi,98.40%,"89,496","13,928",30,556,"1,472"
35,86,United States,Math God,98.06%,"124,012","13,923",9,367,656
36,87,Sweden,Reedkatt,97.81%,"92,984","13,913",209,"2,757","2,165"
37,88,United Kingdom,MoeYandere,97.94%,"193,060","13,910",47,"2,398","1,606"
38,89,Philippines,Milkteaism,97.58%,"64,157","13,904",100,532,898
39,90,South Korea,jot_bab,98.25%,"105,052","13,896",20,405,350
40,91,Australia,Dumii,98.37%,"180,999","13,867",193,"2,197","2,488"
41,92,Taiwan,X i a,94.03%,"125,857","13,834",14,975,"1,024"
42,93,Peru,Arnold24x24,98.09%,"156,152","13,777",543,"1,578","1,023"
43,94,United States,ciru,97.57%,"131,182","13,759",114,545,"1,096"
44,95,Kazakhstan,nejzha,95.42%,"18,234","13,750",34,536,810
45,96,Jersey,rudj,96.93%,"153,832","13,748",51,902,596
46,97,Spain,-Hideki-,98.62%,"182,800","13,747",78,835,980
47,98,Ireland,221,97.40%,"134,717","13,698",31,458,800
48,99,South Korea,_AvA,97.97%,"94,333","13,671",171,970,"1,316"
49,100,Brazil,Yuuzinho,98.69%,"224,652","13,656",250,"1,927","1,558"
0,101,Spain,kazamabc,98.38%,"170,290","13,646",94,"1,351","1,249"
1,102,South Korea,Karuna,98.76%,"104,136","13,645",660,"4,417","2,823"
2,103,United States,Monko2k,98.21%,"98,076","13,622",122,"2,365","2,893"
3,104,United States,kablaze,98.89%,"212,542","13,612","1,089","2,924","2,159"
4,105,Norway,Afrodafro,98.86%,"154,541","13,603",69,821,"1,250"
5,106,Israel,Nalian,97.59%,"125,161","13,595",22,"1,239","1,521"
6,107,Hong Kong,Dream Fire,96.17%,"74,752","13,581",53,551,599
7,108,Poland,Mastasz,98.48%,"102,961","13,566",288,"2,363","1,271"
8,109,Germany,- Nikliu -,98.42%,"108,016","13,565",60,"1,147","1,047"
9,110,Taiwan,Rizer,99.14%,"158,681","13,562","2,783","8,069","1,541"
10,111,Japan,Vento,98.36%,"131,496","13,543",116,826,584
11,112,Canada,nick1324,98.57%,"62,551","13,536",63,972,825
12,113,Indonesia,Crezz,98.28%,"114,514","13,525",129,"1,208","1,029"
13,114,Brazil,xxluizxx47,98.01%,"123,100","13,497",225,"1,131","1,429"
14,115,United States,theez,98.99%,"79,984","13,484",455,"1,123",992
15,116,Ukraine,dench,97.67%,"57,718","13,471",15,354,566
16,117,United Kingdom,Areox,97.83%,"57,343","13,468",58,485,695
17,118,Indonesia,Reyuza,98.01%,"97,496","13,455",85,"1,215","1,617"
18,119,Malaysia,wuhua,97.63%,"279,678","13,428",357,"2,020","1,883"
19,120,Norway,ItsKevZii,97.67%,"179,113","13,415",74,"1,652","1,892"
20,121,United States,Cappy,99.48%,"142,050","13,393",376,"2,515","1,790"
21,122,South Korea,Zeisen,97.50%,"95,899","13,386",6,360,"1,005"
22,123,United Kingdom,Rinnu,98.42%,"82,781","13,384",62,"1,009","1,195"
23,124,South Korea,Nameless Player,99.37%,"19,404","13,375",145,"1,095","1,088"
24,125,Philippines,HaruTachi-,98.37%,"64,489","13,359",26,573,"1,260"
25,126,Germany,hallowatcher,99.60%,"140,277","13,334",227,"1,944","1,398"
26,127,Turkey,edizberkserbest,97.50%,"100,100","13,327",12,419,824
27,128,Poland,Wakson,99.52%,"133,882","13,322",203,"1,085","1,639"
28,129,United States,Mlaw,99.03%,"118,738","13,321",274,"3,419","2,312"
29,130,Vietnam,Zeklewa,97.84%,"43,990","13,306",41,810,975
30,131,Australia,Strauberry,95.64%,"64,921","13,299",4,219,273
31,132,United States,Utami,97.52%,"84,421","13,286",38,518,483
32,133,Poland,Aldrouch,98.61%,"120,023","13,280",24,716,"1,542"
33,134,United States,Informous,97.36%,"89,657","13,278",63,906,"1,582"
34,135,Hong Kong,BaconPug,98.28%,"69,490","13,267",9,532,725
35,136,Chile,Deruz,97.92%,"78,343","13,258",27,583,782
36,137,Mexico,Nadir,98.58%,"108,802","13,232",57,527,"1,079"
37,138,Portugal,King Lizard,97.58%,"191,188","13,214",38,"1,568","2,942"
38,139,Brazil,Coreanmaluco,98.34%,"309,990","13,214","1,181","4,011","1,228"
39,140,Czech Republic,Zmatureeno,98.74%,"149,955","13,189",48,792,785
40,141,Germany,Risiing,99.06%,"135,793","13,182",320,"1,635",755
41,142,Australia,- Heatwave -,98.71%,"173,048","13,177",455,"1,569","1,813"
42,143,United States,Juandissimo,98.27%,"60,142","13,171",44,961,"1,113"
43,144,South Korea,Shizuru-,97.93%,"112,586","13,145",6,252,272
44,145,United States,Toy,99.52%,"267,670","13,138","9,653","4,251","1,376"
45,146,Portugal,Takaga,98.69%,"81,515","13,127",155,"1,433","1,573"
46,147,Canada,- Jay -,95.29%,"60,373","13,126",21,443,824
47,148,United States,Iliekwaffles,97.77%,"88,378","13,123",25,596,962
48,149,Germany,Neox,98.56%,"49,894","13,106",49,655,798
49,150,Bulgaria,Ilmeria,97.56%,"420,575","13,104",158,"1,945","2,415"
0,151,Spain,Frosiito,98.78%,"146,368","13,092",89,"1,209","1,573"
1,152,United Kingdom,rip fc,97.36%,"103,202","13,089",67,520,881
2,153,Russian Federation,Envy_ss,97.13%,"130,387","13,081",50,"1,369",878
3,154,Singapore,emilia,95.74%,"132,952","13,078",55,"2,179","1,806"
4,155,Chile,lPogonyuto,98.28%,"48,217","13,074",10,206,851
5,156,Indonesia,rho,98.65%,"82,122","13,069",103,869,"1,070"
6,157,Taiwan,[ Zane ],98.89%,"185,630","13,064",264,"3,055","2,429"
7,158,Israel,Xilver15,99.39%,"384,855","13,058","1,006","4,880","1,726"
8,159,Serbia,Andrej,98.74%,"151,133","13,053",43,"1,103","1,035"
9,160,United Kingdom,bloo,98.68%,"155,827","13,049",119,804,725
10,161,Sweden,Hungah,98.03%,"98,129","13,040",19,628,805
11,162,Australia,Monk The Don,97.84%,"266,374","13,038",112,"2,827","3,348"
12,163,United States,Pincus,97.18%,"73,269","13,026",6,411,697
