Title,Gross,Gross (Adjusted),Year
Gone with the Wind,200852579,1895421694,1939
Star Wars: Episode IV - A New Hope,460998507,1668979715,1977
The Sound of Music,159287539,1335086324,1965
E.T. the Extra-Terrestrial,435110554,1329174791,1982
Titanic,659363944,1270101626,1997
The Ten Commandments,65500000,1227470000,1956
Jaws,260758300,1200856389,1975
Doctor Zhivago,111721910,1163149635,1965
The Exorcist,232906145,1036314504,1973
Snow White and the Seven Dwarfs,184925486,1021330000,1937
Star Wars: Episode VII - The Force Awakens,936662225,1013038487,2015
One Hundred and One Dalmatians,144880014,936225101,1961
Star Wars: Episode V - The Empire Strikes Back,291286960,920259558,1980
Ben-Hur,74422622,918699453,1959
Avatar,760507625,911790952,2009
Avengers: Endgame,858373000,892669593,2019
Star Wars: Episode VI - Return of the Jedi,309306177,881336578,1983
Jurassic Park,404214720,860163189,1993
Star Wars: Episode I - The Phantom Menace,474544677,846224377,1999
The Lion King,422783777,835301768,1994
The Sting,156000000,835268973,1973
Raiders of the Lost Ark,248159971,829651658,1981
The Graduate,104945305,801854616,1967
Fantasia,76408097,778117595,1941
The Godfather,134966411,739503825,1972
Forrest Gump,330455270,736829627,1994
Mary Poppins,102272727,732563466,1964
Grease,190071103,722413882,1978
The Avengers,623357910,720376844,2012
Jurassic World,652270625,719518552,2015
Black Panther,700426566,715038755,2018
Thunderball,63595658,700876000,1965
The Dark Knight,535234033,698121220,2008
The Jungle Book,141843612,690380663,1967
Sleeping Beauty,51600000,680974120,1959
Avengers: Infinity War,678815482,678572589,2018
Ghostbusters,243187079,667872049,1984
Shrek 2,441226247,665746933,2004
Spider-Man,407022860,661768431,2002
Butch Cassidy and the Sundance Kid,102308889,661127523,1969
Love Story,106550690,656035865,1970
Independence Day,306169268,649049593,1996
Home Alone,285761243,634669454,1990
Star Wars: Episode VIII - The Last Jedi,620181382,633360465,2017
Pinocchio,84254167,631568921,1940
Cleopatra,57777778,629509395,1963
Beverly Hills Cop,234760478,629195500,1984
Goldfinger,51081062,621231000,1964
The Incredibles 2,608581744,621223504,2018
Airport,100489151,619462881,1970
American Graffiti,115000000,615742991,1973
The Robe,36000000,613308665,1953
Pirates of the Caribbean: Dead Man's Chest,423315812,605568108,2006
Around the World in 80 Days,42000000,605446298,1956
Bambi,102247150,596985188,1942
Blazing Saddles,119601481,592555052,1974
Batman,251348343,590050451,1989
The Bells of St. Mary's,21333333,587921587,1945
The Lord of the Rings: The Return of the King,377845905,577563989,2003
Finding Nemo,380843261,577065505,2003
The Towering Inferno,116000000,575090309,1974
Rogue One: A Star Wars Story,532177324,566337792,2016
The Lion King,543638043,565223699,2019
Cinderella,93141149,565024118,1950
Spider-Man 2,373585825,563687019,2004
My Fair Lady,72560711,562782814,1964
The Greatest Show on Earth,36000000,562200000,1952
National Lampoon's Animal House,141600000,561172111,1978
The Passion of the Christ,370782930,559433976,2004
Star Wars: Episode III - Revenge of the Sith,380270577,555871502,2005
Back to the Future,211406762,555222161,1985
The Lord of the Rings: The Two Towers,342551365,540886998,2002
The Dark Knight Rises,448139099,539541466,2012
The Sixth Sense,293506292,539516167,1999
Superman,134451603,537688080,1978
Tootsie,177200000,533189543,1982
Beauty and the Beast,504481165,532665760,2017
Smokey and the Bandit,126737428,532524273,1977
Finding Dory,486295561,526201397,2016
Harry Potter and the Sorcerer's Stone,318087620,526061784,2001
West Side Story,44055492,524839936,1961
Close Encounters of the Third Kind,135189114,523996636,1977
Lady and the Tramp,93602326,522236013,1955
Lawrence of Arabia,45306425,519444690,1962
The Rocky Horror Picture Show,112892319,516000278,1975
Rocky,117235147,515724800,1976
The Best Years of Our Lives,23650000,515350000,1946
Star Wars: The Rise of Skywalker,515202542,515202891,2019
The Poseidon Adventure,84563118,514431740,1972
The Lord of the Rings: The Fellowship of the Ring,315544750,513470378,2001
Twister,241721524,512427497,1996
Men in Black,250690539,511758479,1997
The Bridge on the River Kwai,27200000,509728000,1957
Transformers: Revenge of the Fallen,402111870,505051433,2009
It's a Mad Mad Mad Mad World,46332858,504812498,1963
Swiss Family Robinson,40356000,504180960,1960
One Flew Over the Cuckoo's Nest,108981275,503032198,1975
MASH,81600000,503020954,1970
Indiana Jones and the Temple of Doom,179870271,501602336,1984
Star Wars: Episode II - Attack of the Clones,310676740,500999845,2002
Avengers: Age of Ultron,459005868,499902618,2015
Toy Story 3,415004880,499790178,2010
Mrs. Doubtfire,219195243,493652828,1993
