,name_twitter,screen_name,created_at,location,description,followers_count,friends_count,listed_count,favourites_count,time_zone,statuses_count,lang
0,NYIT,nyit,03/17/07 03:04 AM,New York and Global Campuses,"NYIT (New York Institute of Technology) is a private, non-profit, global university offering degrees in more than 50 fields of study. #NYIT",4511,195,127,222,Eastern Time (US & Canada),3288,en
1,UVA,UVA,03/22/07 05:26 PM,"Charlottesville, VA",Thomas Jefferson founded the University of Virginia in 1819. Official Twitter feed by the Office of University Communications.,49628,1507,884,1534,Eastern Time (US & Canada),11970,en
2,Calvin College,CalvinCollege,03/22/07 07:57 PM,"Grand Rapids, Michigan, USA",Think Deeply. Act Justly. Live Wholeheartedly.,9647,208,342,3440,Eastern Time (US & Canada),7044,en
3,Keene State College,ksc_web,04/17/07 01:02 PM,"Keene, NH","Keene State College is the preeminent public liberal arts college that prepares graduates to think critically, act creatively, and serve the greater good.",3539,392,63,97,Eastern Time (US & Canada),489,en
4,Hofstra University,HofstraU,04/18/07 05:50 PM,"Hempstead, NY","The official Hofstra University Twitter feed, maintained by the Office of University Relations. News, events and updates about Hofstra.",18804,1032,449,1775,Eastern Time (US & Canada),11097,en
5,Eckerd College,eckerdcollege,04/19/07 03:12 AM,"St. Petersburg, FL","Eckerd College is a private, coeducational college of liberal arts and sciences that invites students to ThinkOutside.",2273,118,56,221,Eastern Time (US & Canada),1833,en
6,Seattle University,seattleu,04/19/07 06:29 PM,"Seattle, WA","At Seattle U, dare yourself to know more. Do more. Be more than you ever thought possible.",18135,2739,627,2711,Pacific Time (US & Canada),6297,en
7,Princeton University,Princeton,05/01/07 09:04 PM,"Princeton, NJ",The official Twitter account of Princeton University. Use #PrincetonU to join the conversation!,176434,1355,2760,3541,Eastern Time (US & Canada),21693,en
8,Yale University,Yale,05/01/07 09:13 PM,"New Haven, CT","News, events and updates from Yale University.",232775,263,3268,3,Eastern Time (US & Canada),14533,en
9,Seton Hall,SetonHall,05/05/07 08:18 PM,"South Orange, NJ","One of the countryâ€™s leading Catholic universities, Seton Hall University has been developing students in mind, heart and spirit since 1856.",7421,175,137,1054,Eastern Time (US & Canada),5732,en
10,Allegheny College,alleghenycol,05/08/07 02:52 PM,"Meadville, PA","The national liberal arts college where 2,100 students with unusual combinations of interests, skills and talents excel.

Celebrating our Bicentennial in 2015!",6701,741,209,504,Eastern Time (US & Canada),3937,en
11,Saint Anselm College,saintanselm,05/11/07 07:42 PM,"Manchester, NH","A nationally ranked Catholic, Benedictine liberal arts college.",9376,3147,209,7169,Eastern Time (US & Canada),19600,en
12,Notre Dame,NotreDame,06/01/07 06:59 PM,"Notre Dame, IN","Official Twitter feed for the University of Notre Dame. A force for good since 1842. For alumni news, visit @NDAlumni. For athletics, visit @FightingIrish.",84614,349,729,1438,Eastern Time (US & Canada),10315,en
13,GoldenGateUniversity,GGU,06/08/07 06:37 PM,"536 Mission St, San Francisco","For more than 110 years, non-profit Golden Gate University has been helping professionals achieve their academic goals through higher education.",1672,802,66,219,Pacific Time (US & Canada),1652,en
14,Georgetown Univ.,Georgetown,07/31/07 07:13 PM,"Washington, D.C.","#Georgetown is a major international, student-centered research institution in Washington DC and the countryâ€™s oldest #Catholic, #Jesuit university. Go #Hoyas!",39281,2425,911,1601,Eastern Time (US & Canada),5115,en
15,LMU-Loyola Marymount,LoyolaMarymount,07/31/07 08:45 PM,"Los Angeles, CA",Welcome to the official LMU Twitter page.,8533,3345,211,2273,Pacific Time (US & Canada),6615,en
16,Gustavus Adolphus,gustavus,07/31/07 08:49 PM,"Saint Peter, MN","A church-related, residential liberal arts private college firmly rooted in its Swedish and Lutheran heritage.",5187,1448,151,817,Central Time (US & Canada),2233,en
17,Concordia University,cu_portland,08/31/07 10:00 PM,"Portland, OR",Concordia University is a private Christian liberal arts university preparing leaders for the transformation of society. #cupdx,6562,942,222,447,Pacific Time (US & Canada),2129,en
